,code,source,sourceOther,channelCode,created,dfrom,dto,board,amount,currency,roomCode,roomCodeAssigned,qt,country,adults,teens,children,reservationStatus,reservationTags,marketCode,los,bWindow,occupancy,ADR
161,SR-0008,2,Booking,['WEB'],2022-04-20,2022-04-24,2022-04-26,bb,314118.0,COP,SUPD,SUPD,1,EC,2,0,0,1,[],IND,2,4,2,157059.0
162,CC-0012,2,Booking,"['WEB', 'COR']",2022-04-20,2022-04-27,2022-04-28,nb,151420.0,COP,SUPD,SUPD,1,CO,1,0,0,1,[],IND,1,7,1,151420.0
163,TR-0002,2,VISION TOURS S.A.S,['WEB'],2022-04-20,2022-04-20,2022-04-21,nb,143451.0,COP,SUPT,SUPT,1,CO,2,0,0,1,[],IND,1,0,2,143451.0
164,AH-0007,2,Booking,['WEB'],2022-04-21,2022-04-28,2022-05-01,bb,518295.0,COP,SUPD,SUPD,1,CO,2,0,0,4,[],IND,3,7,2,172765.0
165,MD-0003,2,Booking,['WEB'],2022-04-21,2022-04-24,2022-04-29,nb,757102.0,COP,SUPD,SUPD,1,CO,1,0,0,4,[],IND,5,3,1,151420.4
166,JE-0007,2,Booking,['WEB'],2022-04-21,2022-04-23,2022-04-24,nb,168115.333333333,COP,SUPT,SUPT,1,CO,2,0,0,1,[],GRP,1,2,2,168115.333333333
167,JE-0007,2,Booking,['WEB'],2022-04-21,2022-04-24,2022-04-26,nb,310000.0,COP,SUPT,SUPT,1,CO,1,0,0,1,[],GRP,2,3,1,155000.0
168,AP-0012,-1,Zak,['DIR'],2022-04-21,2022-04-24,2022-04-29,nb,675000.0,COP,SUPD,SUPD,1,CO,1,0,0,1,[],IND,5,3,1,135000.0
169,MD-0004,-1,Zak,['DIR'],2022-04-21,2022-04-24,2022-04-29,nb,675000.0,COP,SUPD,SUPD,1,CO,1,0,0,1,[],IND,5,3,1,135000.0
170,MD-0005,2,Booking,['WEB'],2022-04-22,2022-04-28,2022-05-04,nb,1067997.0,COP,SUPT,SUPT,1,CO,2,0,0,4,[],IND,6,6,2,177999.5
171,AL-0008,-1,Zak,"['DIR', 'COR']",2022-04-22,2022-04-23,2022-04-24,bb,130000.0,COP,SUPD,SUPD,1,CO,1,0,0,1,[],GRP,1,1,1,130000.0
172,AL-0008,-1,Zak,"['DIR', 'COR']",2022-04-22,2022-04-22,2022-04-23,bb,130000.0,COP,SUPD,SUPD,1,CO,1,0,0,1,[],GRP,1,0,1,130000.0
173,SR-0009,-1,Zak,"['DIR', 'COR']",2022-04-22,2022-04-26,2022-05-02,bb,720000.0,COP,SUPT,SUPT,1,CO,1,0,0,1,[],GRP,6,4,1,120000.0
174,SR-0009,-1,Zak,"['DIR', 'COR']",2022-04-22,2022-04-25,2022-04-26,bb,120000.0,COP,TWIN,TWIN,1,CO,1,0,0,1,[],GRP,1,3,1,120000.0
175,LV-0007,2,Booking,['WEB'],2022-04-23,2022-04-23,2022-04-24,bb,180618.0,COP,SUPD,SUPD,1,CO,1,0,1,1,[],GRP,1,0,2,180618.0
176,LV-0007,2,Booking,['WEB'],2022-04-23,2022-04-24,2022-04-26,bb,320000.0,COP,SUPC,SUPC,1,CO,2,0,0,1,[],GRP,2,1,2,160000.0
177,NO-0003,2,Booking,['WEB'],2022-04-24,2022-04-24,2022-04-25,nb,147987.0,COP,TWIN,TWIN,1,CO,2,0,0,1,[],IND,1,0,2,147987.0
178,HJ-0002,2,Booking,['WEB'],2022-04-26,2022-04-25,2022-04-26,nb,116424.0,COP,STDT,STDT,1,CO,2,0,0,1,[],IND,1,-1,2,116424.0
179,LC-0015,2,Booking,['WEB'],2022-04-26,2022-04-26,2022-04-28,nb,335810.0,COP,SUPC,SUPC,1,CO,2,0,0,4,[],IND,2,0,2,167905.0
180,AO-0009,-1,Zak,['DIR'],2022-04-26,2022-04-26,2022-04-27,bb,130000.0,COP,TWIN,TWIN,1,CO,1,0,0,1,[],IND,1,0,1,130000.0
181,AO-0010,-1,Zak,['DIR'],2022-04-26,2022-04-26,2022-04-27,bb,130000.0,COP,SUPD,SUPD,1,CO,1,0,0,1,[],IND,1,0,1,130000.0
182,AO-0011,-1,Zak,['DIR'],2022-04-26,2022-04-26,2022-04-27,bb,130000.0,COP,SUPD,SUPD,1,CO,1,0,0,1,[],IND,1,0,1,130000.0
183,SF-0001,-1,Zak,"['DIR', 'COR']",2022-04-26,2022-04-26,2022-04-27,bb,120000.0,COP,STDD,STDD,1,CO,2,0,0,1,[],IND,1,0,2,120000.0
184,DC-0011,2,Booking,['WEB'],2022-04-27,2022-04-27,2022-04-28,bb,126000.0,COP,SUPC,SUPC,1,CO,2,0,0,1,[],GRP,1,0,2,126000.0
185,DC-0011,2,Booking,['WEB'],2022-04-27,2022-04-29,2022-05-01,bb,252000.0,COP,STDD,STDD,1,CO,2,0,0,1,[],GRP,2,2,2,126000.0
186,DC-0011,2,Booking,['WEB'],2022-04-27,2022-04-28,2022-04-29,bb,126000.0,COP,SUPC,SUPC,1,CO,2,0,0,1,[],GRP,1,1,2,126000.0
187,LP-0011,2,Booking,['WEB'],2022-04-27,2022-04-27,2022-04-28,bb,167905.0,COP,STDD,STDD,1,CO,2,0,0,1,[],INDA,1,0,2,167905.0
188,LP-0012,-1,Zak,['DIR'],2022-04-27,2022-04-28,2022-04-29,bb,150000.0,COP,STDD,STDD,1,CO,2,0,0,1,[],INDA,1,1,2,150000.0
189,DR-0009,-1,Zak,['DIR'],2022-04-27,2022-04-30,2022-05-01,bb,150000.0,COP,SUPD,SUPD,1,CO,2,0,0,1,[],IND,1,3,2,150000.0
190,HO-0003,2,Booking,['WEB'],2022-04-27,2022-04-29,2022-04-30,nb,129780.0,COP,STDD,STDD,1,CO,2,0,0,4,[],IND,1,2,2,129780.0
191,LD-0008,-1,Zak,['DIR'],2022-04-28,2022-04-27,2022-04-30,bb,450000.0,COP,SUPT,SUPT,1,CO,2,0,0,1,[],IND,3,-1,2,150000.0
192,DR-0010,-1,Zak,['DIR'],2022-04-28,2022-04-30,2022-05-02,bb,1500786.0,COP,SUPC,SUPC,1,,4,0,0,4,[],IND,2,2,4,750393.0
193,VM-0003,2,Booking,['WEB'],2022-04-28,2022-04-28,2022-04-29,nb,116424.0,COP,STDD,STDD,1,CO,1,0,0,1,[],IND,1,0,1,116424.0
194,ER-0006,-1,Zak,['DIR'],2022-04-28,2022-04-29,2022-05-01,bb,300000.0,COP,SUPC,SUPC,1,CO,2,0,0,1,[],IND,2,1,2,150000.0
195,JQ-0005,-1,Zak,['DIR'],2022-04-29,2022-04-29,2022-04-30,bb,120000.0,COP,SUPD,SUPD,1,CO,1,0,0,1,[],IND,1,0,1,120000.0
196,RG-0013,-1,Zak,['DIR'],2022-05-03,2022-04-27,2022-04-28,bb,200000.0,COP,STDD,STDD,1,CO,2,0,0,4,[],IND,1,-6,2,200000.0
